frame_idx,track_id,x,y,w,h,conf
0,1,698,172,206,459,0.9144375920295715
0,2,317,169,124,320,0.9105749726295471
0,3,90,179,105,283,0.8816783428192139
0,4,1102,176,177,528,0.8668291568756104
0,5,474,173,106,313,0.844391405582428
0,6,905,220,168,411,0.7666789889335632
0,7,285,185,49,171,0.7593754529953003
0,8,559,192,74,185,0.7355510592460632
0,9,423,194,51,185,0.7102813720703125
1,1,698,174,206,458,0.921549379825592
1,2,317,169,124,320,0.9049773812294006
1,3,92,178,104,283,0.8869473338127136
1,4,1089,175,178,528,0.8270471692085266
1,5,474,171,107,316,0.8567291498184204
1,6,901,219,168,413,0.7498942613601685
1,7,286,185,48,171,0.7548518776893616
1,8,559,193,73,183,0.710964560508728
1,9,422,193,51,186,0.6939954161643982
2,1,698,175,207,459,0.9246498346328735
2,2,317,170,125,320,0.8992659449577332
2,3,93,177,105,283,0.8932263851165771
2,4,1073,174,180,528,0.8497820496559143
2,5,475,170,106,314,0.8521276712417603
2,6,899,215,169,416,0.7772442102432251
2,7,286,184,48,170,0.7656692266464233
2,8,558,195,74,181,0.6346743702888489
2,9,422,192,51,186,0.7213255167007446
3,1,698,176,206,458,0.9238054752349854
3,2,318,170,125,321,0.8996584415435791
3,3,95,175,104,282,0.8959739208221436
3,4,1061,170,184,533,0.8732316493988037
3,5,476,169,107,314,0.8623479008674622
3,6,894,210,168,421,0.8088253736495972
3,7,287,184,47,168,0.7621430158615112
3,8,560,194,73,182,0.4608195424079895
3,9,421,191,51,187,0.6807843446731567
4,1,696,175,208,461,0.9229812026023865
4,2,319,170,124,320,0.9032381176948547
4,3,96,173,104,281,0.8963571786880493
4,4,1049,166,190,541,0.8752903938293457
4,5,476,169,107,314,0.874030590057373
4,6,894,206,167,421,0.7709988951683044
4,7,287,184,47,166,0.7484332919120789
4,8,559,195,73,181,0.4985554814338684
4,9,420,190,52,188,0.6526886820793152
4,10,829,183,76,136,0.53400057554245
5,1,695,173,210,464,0.9265478253364563
5,2,320,170,123,319,0.9029228091239929
5,3,97,172,104,281,0.8961397409439087
5,4,1031,162,197,544,0.85964035987854
5,5,477,168,106,314,0.8539532423019409
5,6,890,203,168,428,0.753406286239624
5,7,288,184,45,161,0.7474786639213562
5,8,558,195,73,180,0.6528910994529724
5,9,423,193,45,162,0.5571789741516113
5,10,829,183,74,135,0.5816283226013184
6,1,696,171,210,466,0.9224147200584412
6,2,320,170,124,319,0.9067227244377136
6,3,97,170,105,282,0.8982155919075012
6,4,1016,159,200,542,0.8432673811912537
6,5,476,167,109,319,0.851212739944458
6,6,888,198,167,430,0.7281543612480164
6,7,288,184,45,160,0.7452545762062073
6,8,558,195,72,179,0.6808253526687622
6,9,422,191,45,161,0.5198342800140381
6,10,828,182,74,135,0.5309869050979614
7,1,695,168,211,468,0.9206669330596924
7,2,320,170,124,319,0.9083766937255859
7,3,97,169,106,283,0.8999347686767578
7,4,995,157,206,545,0.8364804983139038
7,5,476,168,109,320,0.8723951578140259
7,6,888,195,159,416,0.6059550642967224
7,7,288,184,45,160,0.7577282786369324
7,8,559,194,72,179,0.6665886044502258
7,9,423,189,43,157,0.4988200068473816
7,10,828,182,73,133,0.47412851452827454
8,1,694,166,211,469,0.9198845028877258
8,2,320,169,124,320,0.9091024994850159
8,3,96,168,107,284,0.9012929797172546
8,4,973,154,213,549,0.7975835204124451
8,5,476,169,109,320,0.8752622604370117
8,6,887,197,149,400,0.4698721170425415
8,7,288,184,45,160,0.7648869156837463
8,8,560,193,70,178,0.6676090359687805
8,9,423,189,43,155,0.517495334148407
9,1,693,165,212,470,0.9228163361549377
9,2,321,166,125,322,0.8999102711677551
9,3,96,167,107,283,0.9011890292167664
9,4,951,151,218,549,0.8662462830543518
9,5,476,171,109,318,0.880620002746582
9,7,288,184,46,161,0.7721476554870605
9,8,559,192,70,177,0.6744377613067627
9,9,419,190,48,174,0.4583721458911896
10,1,693,162,211,472,0.9204732775688171
10,2,322,164,126,324,0.89225834608078
10,3,96,167,107,283,0.9058996438980103
10,4,930,149,226,559,0.8819217085838318
10,5,476,171,109,318,0.886335015296936
10,7,288,183,47,163,0.7635242342948914
10,8,558,189,69,179,0.6763496994972229
11,1,692,160,211,472,0.9249724745750427
11,2,323,163,126,324,0.8878375887870789
11,3,96,167,107,283,0.9037121534347534
11,4,915,149,231,562,0.8697575330734253
11,5,474,171,110,318,0.8751579523086548
11,7,288,183,47,161,0.7751231789588928
11,8,556,188,70,181,0.673600971698761
11,11,0,190,60,185,0.6103665232658386
12,1,693,158,210,474,0.9216530919075012
12,2,324,160,128,327,0.887511134147644
12,3,96,167,107,282,0.9019078612327576
12,4,895,147,236,567,0.8675742745399475
12,5,473,169,111,319,0.8815320730209351
12,7,289,182,46,160,0.7903124094009399
12,8,555,186,71,184,0.6798266172409058
13,1,691,158,211,476,0.9248998761177063
13,2,324,157,129,329,0.8771207928657532
13,3,96,167,108,280,0.9032962918281555
13,4,876,149,239,566,0.8474593162536621
13,5,473,167,111,319,0.8659562468528748
13,7,289,180,47,161,0.8015027642250061
13,8,555,185,70,186,0.6730125546455383
14,1,689,158,210,479,0.9149508476257324
14,2,325,155,130,330,0.878201425075531
14,3,96,167,108,279,0.9048788547515869
14,4,860,151,238,556,0.8370564579963684
14,5,473,166,112,318,0.8747809529304504
