frame_idx,person_id,x,y,w,h,gender,upper_color,lower_color,hat,glasses,backpack
0,1,7,128,320,746,Male,Black,White,0,0,0
0,2,1367,129,335,766,Male,Black,Blue,0,0,0
0,3,367,53,380,861,Male,Black,Black,0,0,0
0,4,1096,132,173,477,Male,Black,White,0,0,1
0,6,890,157,93,292,Female,Black,Black,1,0,0
1,1,12,132,317,735,Male,Black,White,0,0,0
1,2,1367,126,338,775,Male,Black,Blue,0,0,0
1,3,366,53,380,860,Male,Black,Black,0,0,0
1,4,1096,131,174,478,Male,Black,White,0,0,1
1,6,889,154,92,289,Female,Black,Black,1,0,0
2,1,23,130,315,732,Male,Black,White,0,0,0
2,2,1367,125,338,775,Male,Black,Blue,0,0,0
2,3,367,56,377,855,Male,Black,Black,0,0,0
2,4,1094,128,174,479,Male,Black,White,0,0,1
2,6,891,152,92,288,Female,Black,Black,1,0,0
3,1,31,130,314,729,Male,Black,White,0,0,0
3,2,1367,125,339,778,Male,Black,Blue,0,0,0
3,3,368,58,375,850,Male,Black,Black,0,0,0
3,4,1092,125,175,482,Male,Black,White,0,0,1
3,6,890,149,92,288,Female,Black,Black,1,0,0
3,7,765,138,131,302,Female,White,Gray,0,0,0
4,1,38,123,316,733,Male,Black,White,0,0,0
4,2,1369,124,340,780,Male,Black,Blue,0,0,0
4,3,367,60,374,846,Male,Black,Black,0,0,0
4,4,1089,124,176,485,Male,Black,White,0,0,1
4,6,889,146,93,290,Female,Black,Black,1,0,0
4,7,764,137,132,304,Female,White,Gray,0,0,0
5,1,44,114,317,739,Male,Black,White,0,0,0
5,2,1369,125,340,781,Male,Black,Blue,0,0,0
5,3,364,61,373,843,Male,Black,Black,0,0,0
5,4,1089,124,175,485,Male,Black,White,0,0,1
5,6,889,147,93,289,Female,Black,Black,1,0,0
5,7,768,150,126,290,Female,White,Gray,0,0,0
6,1,50,109,314,733,Male,Black,White,0,0,0
6,2,1369,126,342,787,Male,Black,Blue,0,0,0
6,3,362,62,371,839,Male,Black,Black,0,0,0
6,4,1087,124,174,486,Male,Black,White,0,0,1
6,6,889,147,93,288,Female,Black,Black,1,0,0
6,7,774,174,116,267,Female,White,Gray,0,0,0
6,8,997,140,71,211,Female,Black,Black,0,0,0
7,1,57,108,310,722,Male,Black,White,0,0,0
7,2,1369,128,342,790,Male,Black,Blue,0,0,0
7,3,362,62,369,835,Male,Black,Black,0,0,0
7,4,1086,126,172,482,Male,Black,White,0,0,1
7,6,887,147,92,288,Female,Black,Black,1,0,0
7,7,761,143,130,298,Female,White,Gray,0,0,0
7,8,998,141,71,210,Female,Black,Black,0,0,0
8,1,63,106,307,716,Male,Black,White,0,0,0
8,2,1369,130,342,790,Male,Black,Blue,0,0,0
8,3,359,61,368,834,Male,Black,Black,0,0,0
8,4,1085,127,173,485,Male,Black,White,0,0,1
8,6,885,146,93,288,Female,Black,Black,1,0,0
8,7,757,137,131,303,Female,White,Gray,0,0,0
8,8,997,142,70,212,Female,Black,Black,0,0,0
9,1,69,106,305,711,Male,Black,White,0,0,0
9,2,1370,130,341,790,Male,Black,Blue,0,0,0
9,3,357,59,365,832,Male,Black,Black,0,0,0
9,4,1086,129,173,486,Male,Black,White,0,0,1
9,6,885,145,94,291,Female,Black,Black,1,0,0
9,7,754,132,134,309,Female,White,Gray,0,0,0
